[00:00.00 - 00:02.24] 就人现在是一个不称职的医生了
[28:08.44 - 28:09.44] 此叫Surfersite的
[28:09.44 - 28:10.44] 就说
[28:10.44 - 28:11.44] 这些新的地方
[28:11.44 - 28:12.44] 我见到很多场景
[28:12.44 - 28:13.44] 只是我已经在
[28:13.44 - 28:14.44] 摄影婚选的一个自己了
[28:14.44 - 28:15.44] 这样的话
[28:15.44 - 28:16.44] 其实本质对于对它开始
[28:16.44 - 28:17.44] 就少
[28:17.44 - 28:18.44] 零准质零几动
[28:18.44 - 28:19.44] 都会有分析
[28:19.44 - 28:20.44] 还是有非常有底的一个状态
[28:20.44 - 28:22.44] 这是一方面
[28:22.44 - 28:23.44] 还有就是
[28:23.44 - 28:25.44] 它的大预期企业在提升
[28:25.44 - 28:26.44] 今天其实
[28:26.44 - 28:27.44] 大家去跟我们这道字
[28:27.44 - 28:28.44] 见面的时候
[28:28.44 - 28:29.44] 大家其实是不一样的
[28:29.44 - 28:30.44] 就才要
[28:30.44 - 28:31.44] 我们进出境外
[28:31.44 - 28:32.44] 还要跟上这个预期
[28:32.44 - 28:33.44] 就早年大决
[28:33.44 - 28:34.44] 增加是犯傻的傻
[28:34.44 - 28:35.44] 就算了
[28:35.44 - 28:36.44] 它要求非常高
[28:36.44 - 28:37.44] 就这个预期
[28:37.44 - 28:38.44] 其实也是另一个为动
[28:38.44 - 28:40.44] 这个其实也会是长期
[28:40.44 - 28:41.44] 穿越化
[28:41.44 - 28:42.44] 所以往中很重要的一个样子
[28:42.44 - 28:43.44] 每个地方
[28:43.44 - 28:44.44] 就比如说
[28:44.44 - 28:45.44] 你们现在进入很多国家
[28:45.44 - 28:46.44] 然后其实在中国
[28:46.44 - 28:47.44] 也有很多
[28:47.44 - 28:48.44] 不同的城市
[28:48.44 - 28:49.44] 它其实开车的那个
[28:49.44 - 28:50.44] 就是行为
[28:50.44 - 28:51.44] 或开车的那个容取度
[28:51.44 - 28:52.44] 它是不一样的
[28:52.44 - 28:53.44] 有些地方让行
[28:53.44 - 28:54.44] 有些地方让行
[28:54.44 - 28:55.44] 不太让行
[28:55.44 - 28:56.44] 会有些地方它
[28:56.44 - 28:57.44] 加塞是需要很
[28:57.44 - 28:59.44] 很轻烈的这个
[28:59.44 - 29:00.44] 加塞产能去
[29:00.44 - 29:01.44] 驾驶的
[29:01.44 - 29:02.44] 有些地方可能看来
[29:02.44 - 29:03.44] 跟我们明一些
[29:03.44 - 29:04.44] 这个对于你们的整个系统
[29:04.44 - 29:05.44] 它是因为
[29:05.44 - 29:06.44] 这些都是自己
[29:06.44 - 29:07.44] 就是做这些组合
[29:07.44 - 29:08.44] 其实在虽然世界模型的
[29:08.44 - 29:09.44] 都已经有过
[29:09.44 - 29:11.44] 只是说你这个可能
[29:11.44 - 29:12.44] 是一个新地方只是原来
[29:12.44 - 29:13.44] 这些场景的一个
[29:13.44 - 29:14.44] 干领风度不同
[29:14.44 - 29:15.44] 有这个地方的人
[29:15.44 - 29:16.44] 相对比较
[29:16.44 - 29:17.44] 比较保守线
[29:17.44 - 29:18.44] 就要稍微激进一些
[29:18.44 - 29:20.44] 保守线的场景其实
[29:20.44 - 29:21.44] 都存在于这个世界模型的
[29:21.44 - 29:22.44] 那我能不能理解
[29:22.44 - 29:23.44] 就比如说
[29:23.44 - 29:24.44] 你们在
[29:24.44 - 29:25.44] 北京的这个
[29:25.44 - 29:26.44] 就是这个
[29:26.44 - 29:28.44] 分出来这个自己的世界模型
[29:28.44 - 29:30.44] 最后迅速来的司机和在广州的
[29:30.44 - 29:31.44] 它可能是
[29:31.44 - 29:32.44] 两个拍一样的
[29:32.44 - 29:33.44] 或风格上有差一点
[29:34.44 - 29:35.44] 在L4领域
[29:35.44 - 29:37.44] 其实不需要这个明显差别
[29:37.44 - 29:38.44] 这可能是什么情况
[29:38.44 - 29:40.44] L4领域真正下解说
[29:40.44 - 29:41.44] 我们解决其实是
[29:41.44 - 29:42.44] 比如说刚刚说的
[29:42.44 - 29:43.44] 一半小时的时候
[29:43.44 - 29:44.44] 因为这个风格
[29:44.44 - 29:45.44] 不同或者
[29:45.44 - 29:46.44] 因为这刚刚是发生
[29:46.44 - 29:47.44] 这些型的造成的一些
[29:47.44 - 29:49.44] 极端有危害的一些场景
[29:50.44 - 29:51.44] 但这些场景
[29:51.44 - 29:52.44] 其实在很多地方
[29:52.44 - 29:53.44] 至今为止
[29:53.44 - 29:54.44] 包括在海外
[29:54.44 - 29:55.44] 其实并没有
[29:55.44 - 29:56.44] 非常不同的风格
[29:57.44 - 29:58.44] 就它还说
[29:58.44 - 29:59.44] 大体的在维持在一种
[29:59.44 - 30:00.44] 就是
[30:00.44 - 30:01.44] 有地方开始开始
[30:01.44 - 30:02.44] 比较猛
[30:02.44 - 30:03.44] 比较保守
[30:03.44 - 30:04.44] 但真要到出事的时候
[30:04.44 - 30:05.44] 大家开始都是一样的
[30:06.44 - 30:07.44] 就是还是这个
[30:07.44 - 30:08.44] 就是说
[30:08.44 - 30:09.44] 就这点其实在L4
[30:09.44 - 30:10.44] 这可能是
[30:10.44 - 30:11.44] 可能之前和说的
[30:11.44 - 30:12.44] 服务价值
[30:12.44 - 30:13.44] 二的时候都不同
[30:13.44 - 30:14.44] 服务价值可能比较
[30:14.44 - 30:15.44] 千万不能
[30:15.44 - 30:16.44] 比较大整整地看这习惯
[30:16.44 - 30:17.44] 但L4
[30:17.44 - 30:18.44] 因为它关注的是
[30:18.44 - 30:19.44] 那些极端场景
[30:19.44 - 30:20.44] 所以这个风格
[30:20.44 - 30:21.44] 还是非常一致的
[30:21.44 - 30:22.44] 就简单说
[30:22.44 - 30:23.44] 就去新级版L4
[30:23.44 - 30:24.44] 其实不需要特别多的这个很重要
[30:24.44 - 30:26.44] 我们的这个
[30:26.44 - 30:27.44] 这个套系统
[30:27.44 - 30:28.44] 这个就是世界模型2.0
[30:28.44 - 30:29.44] 它开始在去
[30:29.44 - 30:31.44] 发挥作用了之后
[30:31.44 - 30:33.44] 我理解它对于我们的这个
[30:33.44 - 30:34.44] 整个的价值的提供
[30:34.44 - 30:35.44] 还是可能会有一些
[30:35.44 - 30:36.44] 变化的
[30:36.44 - 30:37.44] 会有一些这个
[30:37.44 - 30:38.44] 不同的
[30:38.44 - 30:40.44] 那对于我们的车量的
[30:40.44 - 30:41.44] 车端的本身
[30:41.44 - 30:42.44] 它对于我们的
[30:42.44 - 30:43.44] 传染器方案
[30:43.44 - 30:44.44] 或对于我们的这个
[30:44.44 - 30:45.44] 它或者是算力的这些东西
[30:45.44 - 30:46.44] 它会有什么样的
[30:46.44 - 30:47.44] 影响或者变化吗
[30:48.44 - 30:49.44] 我先回答算力
[30:49.44 - 30:50.44] 对
[30:50.44 - 30:51.44] 传染器我觉得更重要
[30:51.44 - 30:52.44] 因为实际要出几成本
[30:52.44 - 30:53.44] 这确实也是用一个
[30:53.44 - 30:54.44] 能子
[30:54.44 - 30:55.44] 先把传染器说完吧
[30:55.44 - 30:56.44] 所以成本
[30:56.44 - 30:57.44] 就是等于是我用
[30:57.44 - 30:58.44] 比如说
[30:58.44 - 30:59.44] 就是更便宜很多传染器
[30:59.44 - 31:00.44] 或者说用这种
[31:00.44 - 31:01.44] 传染器
[31:01.44 - 31:02.44] 那么它毕竟没有
[31:02.44 - 31:03.44] 决定制它肯定会在
[31:03.44 - 31:04.44] 质量上有一些地方
[31:04.44 - 31:05.44] 比如说特别的下雨
[31:05.44 - 31:06.44] 对吧
[31:06.44 - 31:07.44] 这个标准化传染器
[31:07.44 - 31:08.44] 就会比搞进件传染器
[31:08.44 - 31:09.44] 带很多就有
[31:09.44 - 31:10.44] 很多的质量低的点
[31:10.44 - 31:11.44] 这样的话
[31:11.44 - 31:12.44] 其实确实需要这些
[31:12.44 - 31:13.44] 模型进步
[31:13.44 - 31:14.44] 但这个其实也是
[31:14.44 - 31:15.44] 这个需要做法
[31:15.44 - 31:16.44] 其实在实际上
[31:16.44 - 31:17.44] 深层的部分
[31:17.44 - 31:18.44] 把这个都很考虑进去
[31:18.44 - 31:19.44] 其实需要做这件事情
[31:19.44 - 31:20.44] 但这个其实
[31:20.44 - 31:21.44] 技术就已经完成了
[31:21.44 - 31:22.44] 就是我们其实已经
[31:22.44 - 31:23.44] 能够
[31:23.44 - 31:24.44] 很好的用心
[31:24.44 - 31:25.44] 这个最标的化传染器了
[31:25.44 - 31:27.44] 然后再说这个算力啊
[31:27.44 - 31:28.44] 算力的其实这样
[31:28.44 - 31:29.44] 一般两三倍
[31:29.44 - 31:30.44] 其实没有本质差别
[31:30.44 - 31:31.44] 如果是一百倍
[31:31.44 - 31:32.44] 那是可能这个
[31:32.44 - 31:33.44] 哇
[31:33.44 - 31:34.44] 但是一百倍
[31:34.44 - 31:35.44] 就不是一个简单的数字了
[31:35.44 - 31:36.44] 一般两三倍
[31:36.44 - 31:38.44] 其实主要还是靠
[31:38.44 - 31:39.44] 这个续量范式
[31:39.44 - 31:40.44] 靠调法式
[31:40.44 - 31:41.44] 靠核心结构
[31:41.44 - 31:42.44] 一般两三倍
[31:42.44 - 31:43.44] 不会缺个这么大的
[31:43.44 - 31:44.44] 最开始
[31:44.44 - 31:45.44] 了之中驾驶的时候
[31:45.44 - 31:46.44] 10年前
[31:46.44 - 31:47.44] 大家其实最这么的
[31:47.44 - 31:48.44] 尤其是要集团场景
[31:48.44 - 31:49.44] 可能开始
[31:49.44 - 31:50.44] 然后就觉得你能不能
[31:50.44 - 31:51.44] 穷尽这个东西
[31:51.44 - 31:52.44] 刚刚已经在说
[31:52.44 - 31:53.44] 是啊
[31:53.44 - 31:54.44] 那现在我们2.0或者我们4.0模型
[31:54.44 - 31:55.44] 这个方式
[31:55.44 - 31:56.44] 是不是意味着我们
[31:56.44 - 31:57.44] 找到了一条解决
[31:57.44 - 31:58.44] 或穷尽这个
[31:58.44 - 31:59.44] 集团场景的这个
[31:59.44 - 32:00.44] 道路
[32:00.44 - 32:02.44] 其实是穷尽这些场景中
[32:02.44 - 32:03.44] 的intention分布
[32:03.44 - 32:04.44] 但场景本身
[32:04.44 - 32:05.44] 其实没有
[32:05.44 - 32:07.44] 因为没有做到变种
[32:07.44 - 32:08.44] 但我不能
[32:08.44 - 32:09.44] 可以用穷尽
[32:09.44 - 32:10.44] 但这个其实
[32:10.44 - 32:11.44] 已经团杂的发生
[32:11.44 - 32:12.44] 我没见过了
[32:12.44 - 32:13.44] 更多是大家的这个
[32:13.44 - 32:14.44] 意图的组合
[32:14.44 - 32:15.44] 就在场景中
[32:15.44 - 32:16.44] 可以同样的场景
[32:16.44 - 32:17.44] 团的状态
[32:17.44 - 32:18.44] 因为不同物体
[32:18.44 - 32:19.44] 意图的不同
[32:19.44 - 32:20.44] 也会有很多组合
[32:20.44 - 32:21.44] 实际上
[32:21.44 - 32:22.44] 你本着它可以求尽
[32:22.44 - 32:23.44] 穷尽所有的意图组合
[32:23.44 - 32:24.44] 你要这个靠手机
[32:24.44 - 32:25.44] 数据是做不到的
[32:25.44 - 32:26.44] 居然产于数据
[32:26.44 - 32:27.44] 本来就不好收集
[32:27.44 - 32:28.44] 其次的话
[32:28.44 - 32:29.44] 我也不能够
[32:29.44 - 32:30.44] 因为是实际道路
[32:30.44 - 32:31.44] 就不能说
[32:31.44 - 32:32.44] 你们必须按这个意图来做
[32:32.44 - 32:33.44] 但是随你中
[32:33.44 - 32:34.44] 我可以强制说
[32:34.44 - 32:35.44] 台湾这个意图
[32:35.44 - 32:36.44] 就是里面
[32:36.44 - 32:37.44] 在你们的这个
[32:37.44 - 32:38.44] 博克里边
[32:38.44 - 32:39.44] 我觉得有一句话
[32:39.44 - 32:40.44] 还是挺让我触动的
[32:40.44 - 32:41.44] 就说在这个
[32:41.44 - 32:42.44] AI的价值能力
[32:42.44 - 32:43.44] 超越了这个人类的
[32:43.44 - 32:44.44] 实际水平之后
[32:44.44 - 32:46.44] 然后通人类的这个
[32:46.44 - 32:47.44] 数据已经对于
[32:47.44 - 32:48.44] 我们世界模型的这个
[32:48.44 - 32:49.44] 进度提升价值
[32:49.44 - 32:50.44] 是区径于零的
[32:50.44 - 32:51.44] 这个是一个
[32:51.44 - 32:52.44] 就说
[32:52.44 - 32:53.44] 数据上的动杂
[32:53.44 - 32:54.44] 还说
[32:54.44 - 32:56.44] 你们的任质上的动杂
[32:56.44 - 32:57.44] 来自于这个
[32:57.44 - 32:58.44] 希望这个有段时间了
[32:58.44 - 32:59.44] 而且我觉得
[32:59.44 - 33:00.44] 是得做得很好
[33:00.44 - 33:01.44] 才是零
[33:01.44 - 33:02.44] 做得不好可能是负的
[33:02.44 - 33:03.44] 不是得做得好
[33:03.44 - 33:04.44] 才是零
[33:04.44 - 33:05.44] 但是其实
[33:05.44 - 33:06.44] 这个其实是
[33:06.44 - 33:07.44] AI发展阶段
[33:07.44 - 33:09.44] 就是从AI不如人
[33:09.44 - 33:10.44] 要接近人的阶段
[33:10.44 - 33:11.44] 到AI也超越人
[33:11.44 - 33:12.44] 然后改进的时候
[33:12.44 - 33:13.44] 这是一个这样的
[33:13.44 - 33:15.44] 一个心态的变化
[33:15.44 - 33:16.44] 就是当
[33:16.44 - 33:17.44] 人因AI差很多的时候
[33:17.44 - 33:19.44] 人的很多数据
[33:19.44 - 33:20.44] 甚至不知道
[33:20.44 - 33:21.44] 这些数据
[33:21.44 - 33:22.44] 带了很多
[33:22.44 - 33:23.44] 不应该有的话的习惯
[33:23.44 - 33:24.44] 然后让AI去学习
[33:24.44 - 33:25.44] 就不解就是说
[33:25.44 - 33:26.44] 对AI差很多的时候
[33:26.44 - 33:27.44] 可能跟人也是很像的
[33:27.44 - 33:28.44] 他只是在跟你不像了
[33:28.44 - 33:29.44] 做得比你好
[33:29.44 - 33:30.44] 但大部分都是很像的
[33:30.44 - 33:31.44] 而且你解释这些
[33:31.44 - 33:32.44] 但你也不像的
[33:32.44 - 33:33.44] 他其实已经
[33:33.44 - 33:34.44] 没法调
[33:34.44 - 33:35.44] 就就好
[33:35.44 - 33:37.44] 所以就说
[33:37.44 - 33:38.44] 就跟
[33:38.44 - 33:39.44] 后来有些
[33:39.44 - 33:40.44] 有些老师对吧
[33:40.44 - 33:41.44] 当然我真的很感谢
[33:41.44 - 33:42.44] 他们对于当
[33:42.44 - 33:43.44] 教授的什么东西
[33:43.44 - 33:44.44] 但将来有时候
[33:44.44 - 33:45.44] 将来真的做研究的时候
[33:45.44 - 33:46.44] 就他已经
[33:46.44 - 33:47.44] 不会再帮你了
[33:47.44 - 33:48.44] 更不会把早年
[33:48.44 - 33:49.44] 就是在一边边
[33:49.44 - 33:50.44] 逛给你了
[33:50.44 - 33:51.44] 希望的是你需要
[33:51.44 - 33:52.44] AI自己去学习
[33:52.44 - 33:53.44] 也这样不是
[33:53.44 - 33:54.44] 比如说我从不讲
[33:54.44 - 33:55.44] 话说我下机我教不了
[33:55.44 - 33:57.44] 所以我连想到了
[33:57.44 - 33:58.44] 一个事情就是在
[33:58.44 - 33:59.44] 这个段奥段
[33:59.44 - 34:00.44] 或者大家
[34:00.44 - 34:01.44] 很重要的
[34:01.44 - 34:02.44] 那个很热闹的
[34:02.44 - 34:03.44] 谈论
[34:03.44 - 34:04.44] 这种驾驶
[34:04.44 - 34:05.44] 段奥段的时候
[34:05.44 - 34:06.44] 其实
[34:06.44 - 34:07.44] 我觉得有一个
[34:07.44 - 34:08.44] 段奥段的车弯
[34:08.44 - 34:09.44] 车段的一个
[34:09.44 - 34:10.44] 就是拒绝的一个场景
[34:10.44 - 34:11.44] 大概就是说是
[34:11.44 - 34:12.44] 怎么办的这个驾驶的
[34:12.44 - 34:13.44] AI实际
[34:13.44 - 34:14.44] 它是有段奥段
[34:14.44 - 34:15.44] 就是有些
[34:15.44 - 34:16.44] 比如说
[34:16.44 - 34:17.44] 直接的编道的
[34:17.44 - 34:18.44] 就是在我们多车道编道的时候
[34:18.44 - 34:19.44] 直接从
[34:19.44 - 34:20.44] 第1车道编道
[34:20.44 - 34:21.44] 第4车道
[34:21.44 - 34:22.44] 对
[34:22.44 - 34:23.44] 它是一个坏的这个
[34:23.44 - 34:24.44] 它类似来讲
[34:24.44 - 34:25.44] 我觉得就是
[34:25.44 - 34:26.44] 你说的那种
[34:26.44 - 34:27.44] 坏的这个
[34:27.44 - 34:28.44] 就是教给它
[34:28.44 - 34:29.44] 其实是要分
[34:29.44 - 34:30.44] 首先这个行为不硬走之坏
[34:30.44 - 34:31.44] 但要分情况
[34:31.44 - 34:32.44] 多少真的
[34:32.44 - 34:33.44] 但你吃也很好
[34:33.44 - 34:34.44] 其实都很清楚
[34:34.44 - 34:35.44] 比如没有折档的话
[34:35.44 - 34:36.44] 那做就做
[34:36.44 - 34:37.44] 而且这可能是
[34:37.44 - 34:38.44] 最慕斯的做法
[34:38.44 - 34:39.44] 但如果其他情况
[34:39.44 - 34:40.44] 那你就不能这么去
[34:40.44 - 34:41.44] 而且要根据
[34:41.44 - 34:42.44] 而且注意
[34:42.44 - 34:43.44] 有时候人看
[34:43.44 - 34:44.44] 它是没有一小节情况
[34:44.44 - 34:45.44] 因为它可能当时
[34:45.44 - 34:46.44] 那一时各个没没看清楚
[34:46.44 - 34:47.44] 因为整个过程
[34:47.44 - 34:48.44] 也是要时间
[34:48.44 - 34:49.44] 甚至可能有折档
[34:49.44 - 34:50.44] 现在不遇到的东西
[34:50.44 - 34:51.44] 但AI那种意思
[34:51.44 - 34:52.44] 所以就这样的一些行为
[34:52.44 - 34:53.44] 对
[34:53.44 - 34:54.44] 当这个例子可能
[34:54.44 - 34:55.44] 最晚这样
[34:55.44 - 34:56.44] 开一点节目之后
[34:56.44 - 34:57.44] 人是千人千面的
[34:57.44 - 34:58.44] 人不是完全一样
[34:58.44 - 34:59.44] 所以
[34:59.44 - 35:00.44] AI是以后
[35:00.44 - 35:01.44] 考试做的五学谁
[35:01.44 - 35:02.44] 有些人这样
[35:02.44 - 35:03.44] 全是不这样
[35:03.44 - 35:04.44] 所以现在
[35:04.44 - 35:05.44] 如果像AI来去
[35:05.44 - 35:06.44] 教AI怎么学的话
[35:06.44 - 35:07.44] 它其实就会
[35:07.44 - 35:08.44] 避免类似的这一些
[35:08.44 - 35:09.44] 相对来讲
[35:09.44 - 35:10.44] 够不安全的行为
[35:10.44 - 35:11.44] 这其实一点
[35:11.44 - 35:12.44] 比如说
[35:12.44 - 35:13.44] AI一旦开始
[35:13.44 - 35:15.44] 不许跟人开的一样
[35:15.44 - 35:16.44] 学的向地角度
[35:16.44 - 35:17.44] 开始开它好角度
[35:17.44 - 35:18.44] 它就这样
[35:18.44 - 35:19.44] 意识到
[35:19.44 - 35:20.44] 需要考虑的原因
[35:20.44 - 35:21.44] 但是AI角的根本点
[35:21.44 - 35:22.44] 就还继续靠它
[35:22.44 - 35:23.44] 说你怎么办
[35:23.44 - 35:24.44] 开得不好
[35:24.44 - 35:25.44] 然后它就继续靠近
[35:25.44 - 35:26.44] 就是这样
[35:26.44 - 35:27.44] 这是高一个围的
[35:27.44 - 35:28.44] 就是当AI
[35:28.44 - 35:29.44] 你们现在超越人之后
[35:29.44 - 35:31.44] 再如何提升的这个阶段的时候
[35:31.44 - 35:33.44] 需要AI来去动很多事情
[35:33.44 - 35:34.44] 你们讲的这个认知
[35:34.44 - 35:35.44] 或者这个动察
[35:35.44 - 35:36.44] 其实另外一个层面
[35:36.44 - 35:37.44] 让我自己比较
[35:37.44 - 35:39.44] 就是我的一种评价和
[35:39.44 - 35:40.44] 我的一个猜测
[35:40.44 - 35:41.44] 就是似乎
[35:41.44 - 35:42.44] 也是对于
[35:42.44 - 35:43.44] L2到底能不能身为
[35:43.44 - 35:44.44] L4的一个回应
[35:44.44 - 35:45.44] 那就是
[35:45.44 - 35:46.44] 如果当成了
[35:46.44 - 35:47.44] 一直靠
[35:47.44 - 35:48.44] 模仿或学习人类的
[35:48.44 - 35:49.44] 这个方式
[35:49.44 - 35:50.44] 没有办法
[35:50.44 - 35:51.44] 身为到L4的
[35:51.44 - 35:52.44] 我这么的理解对吗
[35:52.44 - 35:53.44] 或者这么理解你你怎么看
[35:53.44 - 35:54.44] 就当时我确实
[35:54.44 - 35:55.44] 说过这样的一些观点
[35:55.44 - 35:57.44] 但这个观点中有令
[35:57.44 - 35:58.44] 其实
[35:58.44 - 35:59.44] 这个观点是从技术和产品
[35:59.44 - 36:00.44] 每个都分别说的
[36:00.44 - 36:02.44] 我用L2做了一个检称
[36:02.44 - 36:03.44] 首先
[36:03.44 - 36:04.44] 世界上
[36:04.44 - 36:05.44] 就是不叫
[36:05.44 - 36:06.44] 不能就把一个
[36:06.44 - 36:07.44] 硬叫L2技术
[36:07.44 - 36:08.44] 今天很多L2公司
[36:08.44 - 36:09.44] 现在都要多一个强化学系了
[36:09.44 - 36:10.44] 我只是当时一根表的
[36:10.44 - 36:11.44] 就是说纯粹靠
[36:11.44 - 36:13.44] 收集人类书距这件事情
[36:13.44 - 36:14.44] 是做了L4的
[36:14.44 - 36:15.44] 但这一点我觉得
[36:15.44 - 36:16.44] 今天有共生价素
[36:16.44 - 36:17.44] 基本上所有L2
[36:17.44 - 36:18.44] 都要多在强化学系
[36:19.44 - 36:20.44] 所以大家也多一件事情
[36:20.44 - 36:21.44] 大家发现
[36:21.44 - 36:22.44] 就是全靠这一个
[36:22.44 - 36:23.44] 收集人类书距
[36:23.44 - 36:25.44] 就是说是全靠很多车路上
[36:25.44 - 36:26.44] 跑出于这件事情
[36:26.44 - 36:28.44] 是帮不到做L4的件事
[36:28.44 - 36:29.44] 所以简单说
[36:29.44 - 36:30.44] 就不是说从L2到L4
[36:30.44 - 36:32.44] 而是研证L4到技术物竞
[36:32.44 - 36:33.44] 它其实帮不
[36:33.44 - 36:35.44] 不能帮助你做L4
[36:35.44 - 36:36.44] 任何没做L2公司
[36:36.44 - 36:37.44] 也可以做L4
[36:37.44 - 36:38.44] 所以就是
[36:38.44 - 36:39.44] 只是说它L2的经典
[36:39.44 - 36:40.44] 没法帮助到做L4
[36:40.44 - 36:41.44] 就是技术上
[36:41.44 - 36:43.44] 才没上到任何违度
[36:43.44 - 36:44.44] 才没上到今天
[36:44.44 - 36:45.44] 可能我就简单设计
[36:45.44 - 36:46.44] 才没想起的
[36:46.44 - 36:49.44] 就随着L2变得越来越安全的话
[36:49.44 - 36:50.44] 它其实会给
[36:50.44 - 36:51.44] 用户带来一个
[36:51.44 - 36:53.44] 差不多行了的这种感觉
[36:53.44 - 36:54.44] 这样就会有用户
[36:54.44 - 36:56.44] 就会有些Trust
[36:56.44 - 36:57.44] 这个Trust和导致用户
[36:57.44 - 36:58.44] 其实在需要接管
[36:58.44 - 36:59.44] 或讯体的时候
[36:59.44 - 37:01.44] 它又不能够做出来事
[37:01.44 - 37:03.44] 这其实L2为什么看得越来越好之后
[37:03.44 - 37:05.44] 反而会有很多风险的原因
[37:05.44 - 37:06.44] 这是产品不能进化的原因
[37:06.44 - 37:07.44] 就这两个是风感说的
[37:07.44 - 37:08.44] 核心还是说
[37:08.44 - 37:10.44] 比如说L2过去的那种
[37:10.44 - 37:11.44] 如果研证
[37:11.44 - 37:12.44] 一样是这个
[37:12.44 - 37:13.44] 之前的思络做
[37:13.44 - 37:14.44] 其实综络
[37:14.44 - 37:16.44] 或者你走完要四个路
[37:16.44 - 37:18.44] 那就是没做完都可以走
[37:18.44 - 37:19.44] 使用所有都可以走
[37:19.44 - 37:21.44] 所以其实现在可能就带走
[37:21.44 - 37:22.44] 大家讲的其实就是
[37:22.44 - 37:24.44] 跟之前又是不一样
[37:24.44 - 37:25.44] 比如说像Tesla
[37:25.44 - 37:26.44] 它的那种路径
[37:26.44 - 37:27.44] 它其实现在做的一个
[37:27.44 - 37:29.44] 它还是不略分享它们的事件模型
[37:29.44 - 37:30.44] 对
[37:30.44 - 37:32.44] 它也讲它是这样的事件模型
[37:32.44 - 37:34.44] 然后教主就是另外一个
[37:34.44 - 37:35.44] 就是你可能被
[37:35.44 - 37:37.44] 有点被争议的这个技术的判断
[37:37.44 - 37:38.44] 就是好像
[37:38.44 - 37:39.44] 有人说你给这个
[37:39.44 - 37:41.44] VA判了这个事情案
[37:41.44 - 37:42.44] 就觉得说
[37:42.44 - 37:43.44] VA的这个
[37:43.44 - 37:44.44] 实际上不了这个无人价值
[37:44.44 - 37:45.44] 或者实际上不了这个
[37:45.44 - 37:47.44] 自动价值最终结的这个
[37:47.44 - 37:48.44] 你会解释一下
[37:48.44 - 37:50.44] 这话可能反过来说
[37:50.44 - 37:51.44] 就是
[37:51.44 - 37:54.44] 就是用胖胎过程中发生了什么
[37:54.44 - 37:55.44] 最终
[37:55.44 - 37:56.44] 进入自动价值的
[37:56.44 - 37:59.44] 应该没有L的空间
[37:59.44 - 38:00.44] 就是说
[38:00.44 - 38:01.44] 首先
[38:01.44 - 38:02.44] 从校长L
[38:02.44 - 38:03.44] L不是一个表达
[38:03.44 - 38:04.44] 危害
[38:04.44 - 38:05.44] 只剩最终最细的
[38:05.44 - 38:06.44] 在价值的月
[38:06.44 - 38:07.44] 最细细细的一个类型
[38:07.44 - 38:08.44] 它更多是今天
[38:08.44 - 38:09.44] 我们能找到一个类型
[38:09.44 - 38:11.44] 所以它对中间的方案可能是
[38:11.44 - 38:12.44] 我说的是中矩
[38:12.44 - 38:14.44] VA的L是留不下来的
[38:14.44 - 38:15.44] 而且就是说
[38:15.44 - 38:16.44] 就算加上
[38:16.44 - 38:17.44] 留一些
[38:17.44 - 38:18.44] 虚拟的语
[38:18.44 - 38:20.44] 这推议的东西也不可能是L
[38:20.44 - 38:21.44] 可能是AI的一些
[38:21.44 - 38:22.44] 新的一些头盒
[38:22.44 - 38:23.44] 或者它的这个东西
[38:23.44 - 38:24.44] 造成
[38:24.44 - 38:25.44] 而今天
[38:25.44 - 38:26.44] 其实系列有月的组织
[38:26.44 - 38:27.44] 在看这种新的头盒
[38:27.44 - 38:28.44] 我不敢过
[38:28.44 - 38:29.44] 其实不想把那个
[38:29.44 - 38:30.44] intensiteR当成一个头盒
[38:30.44 - 38:31.44] 但是
[38:31.44 - 38:32.44] 本质上它
[38:32.44 - 38:33.44] 其实应该说
[38:33.44 - 38:34.44] 至少从系列
[38:34.44 - 38:35.44] 它已经证明它是更好的类型
[38:35.44 - 38:36.44] 保护可能会有别的
[38:36.44 - 38:37.44] 所以我和它说
[38:37.44 - 38:38.44] 中矩的时候
[38:38.44 - 38:39.44] L不是一个
[38:39.44 - 38:41.44] 真正危害这些连接的方式
[38:41.44 - 38:42.44] 所以其实
[38:42.44 - 38:43.44] 也意味着
[38:43.44 - 38:44.44] 或者是也就是
[38:44.44 - 38:45.44] 跟现在中矩可能是那一段
[38:45.44 - 38:46.44] 它是不错的
[38:46.44 - 38:47.44] 我没有说它
[38:47.44 - 38:48.44] 等于说中矩没有机会
[38:48.44 - 38:49.44] 或者说最终
[38:49.44 - 38:50.44] 其实不是
[38:50.44 - 38:51.44] 就是现实来讲
[38:51.44 - 38:52.44] 其实也确实有一些
[38:52.44 - 38:53.44] 做VA的
[38:53.44 - 38:54.44] 它给的这个水平
[38:54.44 - 38:55.44] 或是现在这个落地
[38:55.44 - 38:56.44] 还是可以的
[38:56.44 - 38:57.44] 就效果上
[38:57.44 - 38:58.44] 但是可能
[38:58.44 - 38:59.44] 就如你刚才说讲
[38:59.44 - 39:00.44] 这个大家
[39:00.44 - 39:01.44] 在讲这件事情的时候
[39:01.44 - 39:03.44] 它可能最后
[39:03.44 - 39:04.44] 技术上的话
[39:04.44 - 39:05.44] 我们谈论这个VA的
[39:05.44 - 39:06.44] 时候最后具体
[39:06.44 - 39:07.44] 真正谈论什么
[39:07.44 - 39:08.44] 它可能也有一些变化
